Designator,Mid X,Mid Y,Rotation,Layer
C1,251.079,-260.1102,180.0,top
C10,282.9356,-199.881,270.0,top
C100,87.1206,-144.7413,60.0,top
C101,82.74,-194.51,90.0,top
C102,103.8306,-239.8013,120.0,top
C103,144.7413,-268.4794,150.0,top
C104,194.51,-272.86,180.0,top
C105,239.8013,-251.7694,210.0,top
C106,268.4794,-210.8587,240.0,top
C11,281.9196,-189.4658,90.0,top
C12,281.8024,-229.2613,270.0,top
C13,280.6848,-218.6949,90.0,top
C14,71.8566,-253.2736,270.0,top
C15,70.8914,-242.7568,90.0,top
C16,156.1754,-286.9692,0.0,top
C17,145.7054,-287.8836,180.0,top
C18,128.3318,-286.898,0.0,top
C19,117.7882,-287.8124,180.0,top
C2,224.0194,-287.6296,0.0,top
C20,100.7034,-286.9508,0.0,top
C21,90.0582,-287.916,180.0,top
C22,100.7018,-268.3256,0.0,top
C23,90.2318,-269.24,180.0,top
C24,71.7804,-224.0052,270.0,top
C25,69.85,-213.2844,90.0,top
C26,223.994,-286.5882,0.0,top
C27,268.351,-246.1214,270.0,top
C28,203.985,-287.1046,0.0,top
C29,183.9748,-286.6042,0.0,top
C3,213.9462,-286.7152,180.0,top
C30,282.9356,-202.675,90.0,top
C31,286.5424,-202.675,90.0,top
C32,281.8024,-232.3321,90.0,top
C33,285.369,-232.3321,90.0,top
C34,71.8566,-256.4232,90.0,top
C35,75.4126,-256.418,90.0,top
C36,159.1648,-283.4234,180.0,top
C37,159.236,-286.9946,180.0,top
C38,131.1884,-286.9184,180.0,top
C39,131.1994,-283.3928,180.0,top
C4,267.2842,-246.096,270.0,top
C40,103.6692,-286.9854,180.0,top
C41,103.6726,-283.4456,180.0,top
C42,103.4626,-268.3256,180.0,top
C43,103.389,-264.8712,180.0,top
C44,71.7804,-227.4824,90.0,top
C45,75.2856,-227.4824,90.0,top
C46,77.5004,-212.8064,270.0,top
C47,271.6412,-168.8846,180.0,top
C48,271.6342,-176.3522,180.0,top
C49,271.6596,-181.6354,180.0,top
C5,268.1732,-236.1458,90.0,top
C50,271.7104,-187.0202,180.0,top
C51,254.6111,-123.1584,210.0,top
C52,258.3389,-129.6291,210.0,top
C53,261.0025,-134.1918,210.0,top
C54,263.7389,-138.8297,210.0,top
C55,216.9996,-92.0735,240.0,top
C56,223.4633,-95.8133,240.0,top
C57,228.0514,-98.4329,240.0,top
C58,232.7401,-101.0813,240.0,top
C59,168.8846,-83.9588,270.0,top
C6,203.957,-288.1206,0.0,top
C60,176.3522,-83.9658,270.0,top
